timestamp,code,text
2026-06-10T02:55:58+00:00,L01813,"_ BA5C24 ( inbound)
: 01813 (CM) - WZ5G03"
timestamp,code,text
2026-06-10T02:55:58+00:00,L01813,"_ BA5C24 ( inbound)
: 01813 (CM) - WZ5G03"
2026-06-10T02:56:15+00:00,L01813,"_ BA5C24 ( inbound)
: 01813 (CM) - WZ5G03"
2026-06-10T02:56:15+00:00,L01813,"_ BA5C24 ( inbound)
: 01813 (CM) - WZ5G03"
2026-06-10T02:57:42+00:00,L01813,"_ BA5C24 ( inbound)
L01813 (CM) - WZ5G03"
2026-06-10T02:57:42+00:00,L01813,"_ BA5C24 ( inbound)
L01813 (CM) - WZ5G03"
2026-06-10T02:59:29+00:00,,"—.
:
| ~ elle:
ee
a
'
oe
*
a
oie
r
;

---

—_
——
]
a

---

—_
——
]
a
*

---

:
-ellte:
ee
a
oe
a
oie
r
j

---

™ —_—
Ld
fe.
e

---

~~ =
—
_
—_-—-
“
iy
a

---

~~ =
—
—_-—-
“
iy
a
@

---

Ld
e-
e

---

ence ht ke i
i ;
1 ‘ ‘ . , | .
: im ae |
: os "" ; "" ns 7 We
“ an , pad aa by
7 ts, ae
~ AEE
8
he | “ve ‘| iu ‘a bl mi vay (""h bee uit A ae ea ie :
a us Hy woh cha "" i ae ls it ik He ea ‘ i se mt an
, i
ue a i q aire itl it ite "" iad Hi fe ee 4
Ma ta fan wt I: vale \ | {| wt Ay il cit ihe fala hi : : : :
he en i. re : ee ‘Hy ifs fi ‘i att me i ih : rt .
a vs Ml “4 4. Mi a A ie] I ti ! “ely i iH HH a a ;
' | i a ; ite iA rf ina if al ne th nie a ;
o uh wit ay Hit
"" ee rr att a A an : nh ra a if i "" F He lel: F ie ce ih :
He
HP
| , : ; : a : : i H ait i ! I ' \ i ' BM ck i t: Hl ( Bi i | ' a
ii ae
: Jy
gia Ii! oe th WE i | :
[it
rh
.
a the ia at it ya re Me if i i
l |
il
‘ vs it , |
7 i i !
ra tah uals ne He
“| by “a ! I ! ‘4 ui wy it
. : ay A Hi i a
: ji
; aa ly
7 ea
| ""id
:
| 1.

---

an eencntennteneninalinnt penetrometer Aisne elma lA a Ne ct
ee
—
it
iN
tin
""
ne
h
ny
vt
af
by
rn
na
mak
sy
“
ved
Hs
ad
""
ny
im
ji
ey
wht
whet
4,
bes
it
it
1d
ca)
bo
ule
Le
i""
he et
val
wi
wt
wi
ed
hi
ful
hh
ee
ara
ty
Paaa
mm
fa
sunt
te
rds!
fant
yi ey
4
mh
or
nu
aly
woe
‘
te
noel
rm
4
ml
att
f
Wy
hile
vi
on
in
u
is
a
en
fan
id le if
rep
ih
ery
Lae
nel
4
an
te
ha
4
1!
me
ar dans i
aN
Mey
oat
a
“
in
ul
i
paral
hn
fa
Iaely
in
a
re
1
oy
cee
h
vey
ies
a
be
Vii
nny
a
Ha Rt
vt wa
eye
agli
he
is
ih
""
rae
te
fe iy
h
i
hy
faded
uy
i
iy
ele}
on
fil
i
ya
uta
a
fy tind
at
i
|
Mt
ry
i
a
; seb h
N
ay
i
ep L y
Hl
fa
""
4
1
Mf
u
|
u,
1
uf
ait
in
|
a
Wal
way!
ue
oe
4
a
ead
ret
Rn ye,
i
fiat
mn
""
it
ay
a
aan
i
Mi
ily
a iif
‘|
itt
ek
Herileys
Wy
ene ay
wens
i"" iE
Heat
bene
The
ni hn
tt
on
oa
het
|
oa
i
jaa
bal
ut fh
wiki
i
what
tl
aD
uit
Kh
eyed
in
we
vi
he
ah
iD
iI,
i
Hath hi bn t""
lf cH i Hi A
[
iH
vqapel
a
Hi yh i it
en 4
a
i
Wu
if
ui
Vu
ha
wh
i
vp
Hal
4]
Wedel
pen yet
aie i
4
fal
is
Wu ad
itty
i
fy
i of
Seer
(Oe
t
ify,
on
hid
ir
ul
I
it
my
Wh
whe
at
Hf
re
ao
|
ul
ant
pH
|
ef
Ia
nitty
nef
fle
ia
;
' vi
oi
tier
ua
ot
te
Wt
i
i
JF
Ben
|
ni
bend ey
Mb
hy
{ls
Pie
1H
elit
eit
ma
nl
inn Re
“
iw
ee
|
ip
uf
ie
wie
at
ih
Ee
H
Hay
na
Hada
+
iff 9
ny
iti)
ivi
ih
i f
in
Hh
aa
6
4
flys cl,
i
iH
f
:
i!
i i
a
hl in 4
9
te
,
A
my 4
met
li
Hh
H
ee
i
I) Ih i CEPR
a
ett
ff
ty
Ihde fit
il
""
i
eh
FF
i Lay
i
ola
(AH ONIN
in
re
ee
a
it a fe Ab
Mi,
Hit Wa
aye
he
en
itl
""
un
|
ab de
fin
“Ul
i]t
ptt
! if
it
nul ;
I ih
Ht
hit
aa
""
feb
‘i
|
STE PRE
Hy
a
ut
[je
tl
EE
i of
Hef fayt
PE EERIE
Wate ded
\h
bale
Hera ta
Hi Hilt
‘ili ul
Ho
bat
ih
‘ie
tan
rey
1,
eff
1H
Bn
fede
ih ae ey
tpt ey
nt Medel
My
na
Ir
ne
Vy
thy
Sy
High
ib
ale
ut
fe
etl
if
Ny
Hl
Alay
i He
i!
0
pel
I
ithe
wy
""
1H
eal
a lil
rd
‘
i
aH
it
fl
i i
“
Het
ih i
iH
bine
|""
an)
vhs
Raat
"" :
IE fay 1,
Atl
i
4
nya
f
re
AG
wi if
Fi
‘uth
Mp
pra
¥ [fn
[st
""aye
th ie | I!
|
TN
Half fede
ate, ate if ei uf a
vlads
foe
eeqephe
iH
mage
‘I
ay?
tw
a
CLEC
Ho
ne hdl
i]
lst
Hs
vil
io
7 '
ep he He
it iid |p
yt
fede
eal
Aa
A
fay
i
aut
ih
ele
appa iy
rh
ag
i
‘iL way
leider
a
rit
i
af
wet
Heath fel
pe
ny
Ta
ea
Pee
hy
te
(ier ie a
whe
ie
H
il
fy By
Wee
5
Lek
fi
1
ii Re
hei
fi i
i
nn
oa
a
vf
its,
i tl
i
Hi faye He
ued,
ff
4
eye eet
4!
fitted
sth
wat
ne vei ts
Hie
ie:
een
He
re
I He
ole
Hea
}
el
qh
ey sptel
pad
ei
bhi
a
Wine
a
tik
HHH
mi
hy,
alfalfa
Peper tt pede
hy
fl
ie
ha
|
ere
Hil
iy
ie)
ta at vf :
i i
a
mee |
iW f
f
wil
weil
OA URE oe
Hebd tHe,
i ach d
ane)
""
ue
te
ian
vie
meet
ee Heat]
ay
ti
1
Ay
a
el
PAfecr Pada aiys alll
iH
ee
tot
ee
|
AI
Hie
hfe fapat
Bett
wa
hy
hay
Aa
My
ih st
yr
wil Mists eft
Hod idaid diy
|.
|
td
th
hut
ral
rf
i ; 7 "" i hit! no i i i
Au i
‘i
eda cl
tl
ald Weld
+
uf
pinata
al ene
Mh
lhe
t
i
Wet ATL
AOI
Ho 1
ty
alt
Why
ie
pl
ha
i
HI fall i
7
rik
It:
5
|
alr
an
eff
rit
I
a
Pi
(' vines Pi nae
a
""|
it ik:
i
ni
ey epee
fly
i fl
H
Aral
i
tl
dt
4
""|
elit ned
ety
ve
lee
i
f
Ir
i
flatly
FTP Rt ka
ape
btnet ef
I!
ji
‘|
Hh
iti
bens
|
Hy
Ata
cea
a
Ju
fide tid
i
af
He
sia
""
ty
Hit
Mihky
He
Al
i
falas
hy
ou
Hal
|
LL
an
i
ii
ee
""
ql
hal
i
Ba
edad
Wi
4
ann
:
he
rerhy
my
oie
‘
ie
pv
Hii ‘ky
1
f
ae \
il tt
fer
a
qi
All
Maly
dit.
4
te
mi
1
1
ha
na
4
Bet
iy
Keeiel
Ile
nae
4
ait left
wy
eid
ipa
ney!
ni
Me
con
ning
els
tye
iy: ne in!
i it
oa
!
lata
Huy
Mh
nn
MD
iy
aie |
Sap
As
rye
‘ads
wl
cle
at
whe
o
'
edt
iat
Ht
ft
qf
wd
I
jii wy
ik
Ha
i
: i
aro
“y
""t
iit
yt
hs
iil
i
[ta i
He
ill
re
iti
th by
‘|
vi
ja
an
hy
Hey
Cy
era at at
a
hil
bolt
Mei
atte
ity!
bby
44
F
(
a)
ut
pi
ral
fl
He
i
hl
||.
re
t""
ih
HE
oa
4
Vi
4
|
Vth
|
1
|
Lo
ral
i}
or
{iley
why
Via
ted yy
ily
W
|]
tpage
Veo
[3

---

a
a
ae
tee
ie
a
Tae
oe
Toll
woe
>
7
Soe ee Sele
:
+
aoe
-«
=
ee
¥
..
=
=
==
WDD
22
Saas
=
Lis
Z
aes
— =
aa
SLI Ta
i ee
—
ae
Fe
a
TEs
=
SESS
=
aoe
~
_——
acne eee
ae
=
a
=
=
=
=
ie
as
we
Beh aoll
2
Wee eS
A ee
Tee SS
==
=
ees
ees
Se
a
<=
=
=
:
-
=
—
a
=>
ye ee SSE
ASE Tee
SSS TSS SES
= =s
=
an
==
SSeS
SoS
=o
=
=
—
Bi
a
eee ee
aan
=
2
I
sacar ona
SoS
st
SEEDS
Sie
Ja SSS
=
SESE
=
=
Le
=
pa eieaien
wt eo
=
we
zie
=
SSS
SSS
==
=
=
=
See
a
.
a
_
a---
eee
aes
Do Shee
ie SS STS
stem
=
Ss
=
7
eee
2
=
=
=
=
=
=
LEE Se
=
=
TES
a
——
a
>
=
we
i eS
SS
ae
=
=
=
=
=
=
=
oe
aaats
SS
=
=
=
Po
a=
=
=
a
=
eer
Tee
at
=
io SE De Se
eons
a
=
=
=
SSE
Sten eS
=
=
acl
73
a
-
ae
ate el
cart
mo
a
oe
—
5-55S=
22
=
aS
SS
=
SS
a
=
ee 3 LST
Sa
aerial
=
LS
ZF
Tle
s
coal
er
=
=
Eres s
=
=
=
=
——s
=
>
=
=
i
==
=
—s
=
=
ze
_
oe
ee ie
—
es
ITS
=
=
=
=
Eee
eae
#
=
==
———
ae!
==
=
=
SSS
=
==
==
=
are
a
=
=
Sot Te
=
a
a
==
=
=o
SS==
a
as
==
=
=
a
=
=r
—
==
=
ESSi=e
a
5
=
aaa
=
—
Dist
—
SITES
ae
=
==
=
==
=
=
=
=
=
=
==
=
=
=
=
=
=
=
a
Los
eT
“2
Tee
el esS
aren
a2
===
a Re ee
———
=
ee
re,
ay
=
=
—=S==
==
=
=
=
:
>
—_
ane
==
=
=
=
=
ana
=>
———
=
=
=
=
a
=o
==
=
=
=
==
==
ae
—
wines base ce
ee
=
ez
=
=e
=
a
=
SSS
==
i
SST
=
_
-
ies
=
wee
a
=
==
==
SSS
=
SSS
=== ==
===
=F2
—
_
=
=
pee
oa
SESS Ea RE
5
=
=e
=
oe
—
=
=
==
==
=
=
=
==
Et
ES
=
:
=
sis
=
et
=
SS
=
=
=
=
=
=:
===
SSeS
a
==
=
=
aes
===
=
=
=
aie
=
=
==
—
=
=
—_
a
Ss
aS
=
= ES
SS
=S
=e
a=
—
=
=
—=
SS
——
===
a
==
=
=
=
ee ae
=
pet eee
aS
==
=
=
=
—
===
=
=
==
—_
=
==
—
=.
:
aes
=
es
ae
TF
=
iS
SS
—
===
=
=
=
a
—
——_
—
a
—==
=
=
a
—_
=>
=
=
=
a
=
aes
=
=
oof
—
=
=
=
==
===
—————
SSS
=
=
—
=,
=
E
=
=
=
=
Ee
Sone e eS
a
————EE
=S=
===
=
=
—
=
=
=
=
.
=
=
ae
=
ae
=
2S
=
=
Sa
te
=
==
SS SSS SS
——
=
=
=
=
—
=
_
-—
=.
B
=
5
=
Lie SE
=
a
=
=
=
Sas
SES STS
SSS SS
=
=
=
—
——
—
==TeS
SS
a
=
=
=
=
a
=
=
=
a
aes
SSS
=
=
—
—
—
a
—~
—
a
aa
=
.
=
—
a
a
==
SST
==
=
=
==
2
———s
===>
=
_
-
=
=
a
ial See
CES
=
eee ee
a
ar
ae
==
= =
<==
===
———
=
=
—_
7
=
—s
—_
a
Se
=a
—=3
SSS
=o
=
a
———
=—
==
==
——=
au-. itiee
ince -
2
=
=
=
oe
=
Soo
SSS
Sa
—=
ee
=
=
=
ee
Es
LE.
a
ao
<r e
cS
ts
a
=e
a
Sa
aa>
2S po
==
a
SSS SS
———
=F
a
—_
——
_—=
a
eres
ae
a
=
==
ath
—
7=
SFIS
—=
ss
===
==
==
=
——e
eee
===
a
ee a
:
SSS
SEE
FSS
=
———
==
a
==
es
——
——
==
ae
——
—==
——
=
So. OS
2 es SS
==
es
Tess
=
SSS
==
SS SST
==
—==
=
=a
—
a=
_
S
=
a
aeibal
so
eS SESS
=
SIS ==
=
==
=
=
=
Se
=
ee
——_
==
=
=
=
==
—-
=
=
-
Soe
==
=o
==
z.
==
==
=o
=
=
————— et
ee
= SS
—o
==
=
=
eee
Woes
=
=
<=
<
a
-
=
ee
a
—
SS SSS
a
es
=
——
=
=
=
=
ee
=F
wae
=
:
oa
=
=
=
=
=
Soe
=
ees
=
=
ee
—
—
=
——
—
=
=
ee
—
2
Suisse
2
=
=
Dee
a
=
==
==
==
=
==
==
=
=
=
=
a
et
———_
==
a
a
a.
=
aot
z
Tai
BE
—
=
Se pe
es
—
——
ae
=
===
——
=
=
=
Sse
===
==
acre
ae
a
———_ —--
cpa
2
=e
TEES
<=
===
==
SS
——
=
=
=
a
=
——
a
——
—_
=.
rT
mre
=_—
—
eee
—
——
SSE TET
=
a
—_
ee
= SS
==
SSSS
—=
—
eaten
a
~ ee
<=:
=
—_ —
a
=
eS
=
=
—
= SS
3
= TTStt
Sn SS
==
oe
ee
=
—
-—
a
LSE
=e
za
ee
few
begs
a
SSS
a
=< S=
————
Soe eS
=
==
Se
—
=
—
i
=
en
Se-:
wa SS SSE ESTEE
==
=
a
=
age ieee ieee ae
==
—
—2EES
=
=:
=
=
~=s
—
=
:
oe
-—
—
<
oa
sole SSS
SS SS
a
=
es
T=
TE
SSS ee
=
ee
=
aa
SS
ee
ips -e
we
weet oe
=
ae
=
2 =
a
eS
Sa
=
ai
ee
=
= oT
I
—-
==
=
ee
a
=
=
ie
SE
oe
Ee
SS
=
===
ee
=z
~~
aa
—
=
SSF
oe SE
we
=
=S
Sass
SSS:
SSS
2st
oR a eee
a
=
To -
=
7
SESS:
ae
paneer
=
=
ee ee
=
eee
=
a
a7
—
=~
——
ees
=
i
——
ee
a
SESS LE
aL
se
oS
=.
a
i
eee
——
:
a
waits.
eae
ro
a
Eis
=
2To
Hat
=i
He ELS xs
==
oes
oe
ee
ne
aaa
2s
aE
=
ae
=
=
=
TTS
=
=a
—
=i
i
ears
_
ie
ae
=
ian
fae
wae + eS
a
me
Bool sss
=-
oS
eet
ll
So see
see
on
oo
oe
ee
ser Lt
2
aor ee
=
=
— is
——
=
an
aa
ay
toe Pas
Seon lies
ST
epee
eel
—_ —_——
---
=
a
ee
a
ia
~ ae
ee eien
a
pa e
ws
=
—-
o
—_=
ao
we oe ee
oe ee ES
=
apenas
sia
ees
-—=
ee
=
_.———
ee ee
Sele
a
ano
cae
=
Poe Se
aS
2m.
~~
en
—
aoe. =
=
See
as
een
——s
ais
a
-——--=
=—
=
——
eee
—
ee ee
eee
—_
ee ee
a
—
a
a
=
i
a
=e
=
a
—
=H
ees
Tr.
week
ne
a
=.
Bie salt
—
=.=
aaa
—=-
a
on
cone
—
ae
we
—_—
a
a
-+
TL
ee
—
oa
aS
———
ae
=
eee
ee
ae
Tr
=
aoe
a
Deals
aoe
vas
a
on
as
-—
‘
—
-2
a
a
a
--
aoe
aL
/
-
re aaaeemenanmanedl

---

ence
i :
1 1 :
: im mh ae
: os ns 7 We
an pad aa by
7 ts ae
- AEE
8
he f e f iu a bl mi vay (h bee uit A ae ea ie :
a us Hy woh cha i ae ls it ik He ea f i se mt an
i
ue a i q aire itl it ite I iad Hi fe ee 4
Ma ta fan wt I: vale wt Ay il cit ihe fala hi : : : :
he en i re : ee Hy ifs fi i att me i ih : rt
a vs Ml 4 4 Mi a A ie) I ti ely i iH HH a a :
: i a ite iA rf ina if al ne th nie a :
oo uh wit ay Hit
ee rr att a A an : nh ra a if i : F He lel: F ie ce ih :
He
HP
: : a : : i H ait i I ( i BM ck i t: Hl ( Bi i a
ii ae
: Jy
gia Ii oe th WE i :
Hirt
rh
a the ia at it ya re Me if i i
l i
il
: vs it )
7 i i
ra tah uals ne He
- by va I 4 ui wy it
: ay A Hi ia
: ji
aa ly
7 ea
id
:
f

---

™ —_—
. id
fe.
e

---

—~_ =
—— a
_
—_-—-
“
iy
I

---

—~_ =
—— a
—_-—-
“
iy
I
@

---

d
e-
e"
2026-06-10T03:02:59+00:00,L01813,"_ BA5C24 ( inbound)
L01813 (CM) - WZ5G03"
